Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-72,-57,-57,-100,-90,-100,2
-100,-63,-53,-100,-100,-89,0
-100,-65,-55,-100,-100,-82,0
-100,-100,-53,-60,-89,-100,0
-80,-62,-57,-61,-100,-100,1
-71,-55,-55,-100,-88,-84,2
-70,-100,-54,-58,-100,-100,0
-100,-61,-55,-100,-100,-88,0
-77,-65,-57,-62,-100,-100,0
-70,-64,-56,-63,-91,-100,1
-100,-100,-55,-100,-100,-100,2
-72,-61,-57,-61,-89,-100,1
-75,-100,-56,-100,-91,-87,2
-84,-54,-61,-64,-90,-100,1
-75,-100,-53,-100,-89,-100,2
-77,-62,-53,-64,-100,-100,0
-79,-54,-64,-62,-100,-100,1
-71,-64,-52,-59,-100,-100,0
-80,-100,-57,-68,-95,-100,1
-83,-57,-61,-63,-100,-100,1
-73,-100,-54,-100,-88,-89,2
-73,-100,-55,-100,-94,-87,2
-86,-100,-55,-100,-100,-90,2
-70,-100,-55,-59,-91,-87,0
-78,-100,-58,-63,-100,-100,1
-76,-64,-56,-63,-100,-100,0
-76,-65,-56,-62,-92,-100,0
-82,-100,-55,-100,-95,-86,2
-78,-53,-62,-61,-100,-87,1
-100,-62,-54,-100,-100,-89,0
-71,-100,-54,-59,-100,-91,0
-70,-63,-100,-66,-89,-87,2
-75,-64,-56,-62,-100,-100,0
-100,-64,-55,-65,-100,-82,0
-70,-100,-52,-58,-100,-100,0
-67,-64,-62,-60,-100,-100,0
-74,-100,-55,-100,-100,-89,2
-75,-64,-56,-62,-92,-89,0
-89,-56,-52,-100,-91,-87,2
-77,-62,-55,-63,-92,-86,0
-85,-100,-51,-58,-88,-85,0
-75,-64,-56,-62,-89,-100,0
-84,-100,-57,-61,-91,-100,1
-85,-65,-56,-61,-100,-100,1
-83,-63,-55,-60,-100,-100,1
-72,-63,-54,-61,-91,-86,1
-87,-58,-53,-64,-100,-100,0
-74,-65,-59,-64,-100,-100,0
-88,-57,-57,-100,-91,-100,2
-100,-64,-50,-100,-100,-100,0
-74,-52,-51,-100,-100,-87,2
-81,-54,-59,-60,-86,-100,1
-77,-65,-56,-59,-100,-100,0
-75,-58,-59,-100,-100,-92,2
-77,-55,-65,-100,-100,-100,2
-100,-62,-53,-100,-100,-89,0
-75,-58,-55,-100,-100,-100,1
-78,-100,-59,-62,-100,-100,1
-80,-100,-56,-100,-100,-84,2
-82,-100,-56,-61,-87,-100,1
-100,-100,-58,-62,-89,-88,1
-77,-100,-61,-61,-100,-85,1
-75,-64,-56,-60,-100,-87,1
-70,-65,-55,-60,-100,-90,0
-76,-100,-51,-100,-90,-85,2
-69,-57,-57,-100,-90,-100,2
-67,-60,-58,-100,-90,-100,2
-79,-51,-60,-61,-100,-87,1
-72,-100,-56,-58,-100,-100,0
-71,-64,-54,-60,-100,-87,0
-100,-61,-53,-100,-100,-100,0
-73,-100,-53,-59,-100,-84,0
-75,-53,-59,-62,-89,-86,1
-73,-100,-53,-100,-87,-84,2
-70,-100,-53,-58,-100,-87,0
-100,-62,-53,-100,-100,-89,0
-81,-54,-62,-63,-93,-100,1
-74,-100,-52,-58,-91,-89,0
-75,-68,-55,-60,-100,-100,1
-75,-57,-56,-62,-100,-100,1
-71,-60,-55,-100,-90,-100,2
-71,-100,-54,-58,-89,-100,0
-77,-100,-51,-100,-92,-87,2
-85,-54,-60,-62,-100,-89,1
-74,-64,-55,-62,-100,-100,0
-81,-100,-52,-100,-100,-100,2
-70,-100,-52,-59,-100,-100,0
-74,-100,-57,-100,-93,-88,2
-71,-63,-56,-100,-100,-100,1
-76,-57,-56,-100,-100,-100,2
-100,-62,-55,-61,-86,-87,1
